name;station;date;max temperature;precipitation;min temperature
Tromsø - Langnes;SN90490;10.2022;10,7;187;-4,2
Tromsø - Langnes;SN90490;11.2022;8,5;41,5;-7
Tromsø - Langnes;SN90490;12.2022;5,6;88,8;-11,7
Tromsø - Langnes;SN90490;01.2023;7,7;111,4;-13,9
Tromsø - Langnes;SN90490;02.2023;6,6;171,3;-10,7
Tromsø - Langnes;SN90490;03.2023;4,5;157;-15,1
Tromsø - Langnes;SN90490;04.2023;9,8;85;-7,1
Tromsø - Langnes;SN90490;05.2023;17,7;101,2;-4,6
Tromsø - Langnes;SN90490;06.2023;25,4;43,4;-0,4
Tromsø - Langnes;SN90490;07.2023;26,7;14;6
Tromsø - Langnes;SN90490;08.2023;25,1;43,4;5,4
Tromsø - Langnes;SN90490;09.2023;19,3;163,7;0,3
Tromsø - Langnes;SN90490;10.2023;9,8;64,8;-0,6
